 numServices = 10;
 numDrivers = 20;
 numBuses = 20;
 maxBuses = 7;
 services = [<443,26,577,41>,<1218,125,2777,12>,<88,79,1755,40>,<375,78,1733,16>,<999,139,3088,42>,<857,55,1222,22>,<573,104,2310,30>,<880,118,2621,29>,<289,65,1444,32>,<239,79,1755,22>];
 drivers = [<281,247,0.600000,0.701000>,<390,210,0.400000,0.643000>,<376,156,0.500000,0.653000>,<149,117,0.600000,0.802000>,<237,262,0.600000,0.715000>,<273,206,0.500000,0.660000>,<257,298,0.700000,0.845000>,<210,161,0.500000,0.700000>,<193,130,0.400000,0.616000>,<106,284,0.800000,1.008000>,<365,117,0.600000,0.755000>,<318,159,0.800000,1.018000>,<114,135,0.400000,0.674000>,<167,236,0.500000,0.744000>,<221,174,0.800000,0.958000>,<136,199,0.800000,1.064000>,<397,156,0.500000,0.715000>,<294,218,0.700000,0.928000>,<294,111,0.500000,0.758000>,<362,169,0.800000,0.994000>];
 buses = [<49,0.294000,0.625500>,<40,0.172000,0.534000>,<41,0.188000,0.546000>,<44,0.222000,0.571500>,<40,0.172000,0.534000>,<41,0.188000,0.546000>,<48,0.286000,0.619500>,<39,0.162000,0.526500>,<48,0.284000,0.618000>,<47,0.268000,0.606000>,<42,0.206000,0.559500>,<36,0.122000,0.496500>,<35,0.106000,0.484500>,<47,0.266000,0.604500>,<45,0.236000,0.582000>,<37,0.130000,0.502500>,<36,0.126000,0.499500>,<43,0.208000,0.561000>,<41,0.180000,0.540000>,<43,0.218000,0.568500>];
 service_overlap = [
[ 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, ],
[ 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, ],
[ 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, ],
[ 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, ],
[ 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, ],
[ 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, ],
[ 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, ],
[ 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, ],
[ 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, ],
[ 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, ],
];
