numServices = 10;
 numDrivers = 20;
 numBuses = 20;
 maxBuses = 10;
services = [<80,139,3088,10>,<1278,36,799,21>,<17,88,1955,41>,<549,93,2066,17>,<425,29,644,46>,<1198,46,1022,22>,<203,41,911,16>,<152,92,2044,33>,<818,136,3021,29>,<363,69,1533,41>];
drivers = [<221,127,0.600000,0.818000>,<147,192,0.600000,0.814000>,<177,142,0.600000,0.829000>,<395,203,0.700000,0.811000>,<213,285,0.400000,0.549000>,<294,212,0.600000,0.717000>,<319,251,0.500000,0.632000>,<230,138,0.700000,0.873000>,<178,226,0.500000,0.689000>,<245,211,0.500000,0.667000>,<227,284,0.800000,0.946000>,<297,231,0.500000,0.738000>,<211,208,0.700000,0.980000>,<293,204,0.800000,0.935000>,<156,169,0.800000,0.921000>,<305,163,0.700000,0.885000>,<274,134,0.800000,0.936000>,<159,165,0.400000,0.526000>,<332,143,0.700000,0.953000>,<273,240,0.400000,0.516000>];
buses = [<39,0.158000,0.523500>,<37,0.134000,0.505500>,<47,0.264000,0.603000>,<47,0.272000,0.609000>,<39,0.158000,0.523500>,<39,0.154000,0.520500>,<45,0.234000,0.580500>,<38,0.148000,0.516000>,<47,0.272000,0.609000>,<44,0.226000,0.574500>,<36,0.122000,0.496500>,<48,0.274000,0.610500>,<48,0.276000,0.612000>,<49,0.292000,0.624000>,<40,0.172000,0.534000>,<37,0.132000,0.504000>,<44,0.232000,0.579000>,<39,0.164000,0.528000>,<38,0.152000,0.519000>,<39,0.160000,0.525000>];
service_overlap = [
[ 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, ],
[ 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, ],
[ 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, ],
[ 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, ],
[ 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, ],
[ 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, ],
[ 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, ],
[ 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, ],
[ 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, ],
[ 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, ],
];
